Experiment #,Sample Name,Type,Sample,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
6,Sj10018T Reinjected Mast 74 Cclf Rep2,Tumor,JDM,hGAPDH,18.409,0.76420773,-0.338,,,,
6,,, ,mGapdh,24.089, , ,,,,
7,Mast 74 S7P3T (G),Tumor,RMS 01.21.019,hGAPDH,18.117,0.798000264,-0.273,,,,
7,,, ,mGapdh,22.703, , ,,,,
8,Sj1013 2D Culture,Cells,JDM 01.23.022-10,hGAPDH,17.991,1.124648372,0.355,,,,
8,,, ,mGapdh,15.997, , ,,,,
TUBE,Sample Name,Experiment#,Sample Name,Mean Equivalent Cq,human/mouse ratio (Ct),mouse contamination,,,,,
1,Mast 245 (G) S7,Rms01.22.044,Sample 1,16.736,0.744715881,-0.376,,,,,
1,,,Sample 1,22.473, , ,,,,,
2,Mast 323 (G) S7,Rms01.21.083,Sample 2,16.987,0.833922435,-0.204,,,,,
2,,,Sample 2,20.37, , ,,,,,
3,Mast 430 (G) S7,Rms01.21.079,Sample 3,16.022,0.641418792,-0.574,,,,,
3,,,Sample 3,24.979, , ,,,,,
4,Mast 473 (Gf) S7,Rms01.21.063,Sample 4,16.217,0.77367492,-0.32,,,,,
4,,,Sample 4,20.961, , ,,,,,
5,Mast 505 (G) S7,Rms01.21.050,Sample 5,15.363,0.612071713,-0.631,,,,,
5,,,Sample 5,25.1, , ,,,,,
6,Mast 509 (Bf) S7,Rms01.21.077,Sample 6,16.687,0.76612644,-0.334,,,,,
6,,,Sample 6,21.781, , ,,,,,
7,Mast 563A (B) S7,Rms01.21.051,Sample 7,16.32,0.563205301,-0.725,,,,,
7,,,Sample 7,28.977, , ,,,,,
8,Mast 576A (G) S7,Rms01.21.046,Sample 8,17.07,0.764031868,-0.338,,,,,
8,,,Sample 8,22.342, , ,,,,,
9,Mast 576B (B) S7,Rms01.21.048,Sample 9,16.76,0.728727336,-0.406,,,,,
9,,,Sample 9,22.999, , ,,,,,
10,Mast 590 (Gf) S7,Rms01.22.114,Sample 10,16.011,0.646021627,-0.565,,,,,
10,,,Sample 10,24.784, , ,,,,,
11,Mast 607A (G) S7,Rms01.21.071,Sample 11,16.63,0.650193533,-0.557,,,,,
11,,,Sample 11,25.577, , ,,,,,
12,Mast 612 (Gf) P1,Rms01.21.112,Sample 12,19.777,1.119748613,0.346,,,,,
12,,,Sample 12,17.662, , ,,,,,
13,Rh70 (B) S7,Rms01.22.117,Sample 13,16.299,0.608557667,-0.637,,,,,
13,,,Sample 13,26.783, , ,,,,,
14,Rh72 (G) S7,Rms01.21.061,Sample 14,17.427,0.707494316,-0.447,,,,,
14,,,Sample 14,24.632, , ,,,,,
15,Rh73 (G) S7,Rms01.21.065,Sample 15,16.558,0.809444662,-0.251,,,,,
15,,,Sample 15,20.456, , ,,,,,
16,Rh74 (B) P2,Rms 01.21.075,Sample 16,18.211,0.608412401,-0.638,,,,,
16,,,Sample 16,29.932, , ,,,,,
17,Rh75 (B) S7,Rms01.21.067,Sample 17,17.318,0.697771868,-0.466,,,,,
17,,,Sample 17,24.819, , ,,,,,
18,Mast 623D (Ews) S7,Ews01.23.023,Sample 18,17.527,0.721394468,-0.42,,,,,
18,,,Sample 18,24.296, , ,,,,,
 ,Dye Id,Sample Name,Experiment #,Mean Equivalent Cq,human/mouse ratio (Ct),mouse contamination,,,,,
1,Dye 6187,Mast 71 – S7 P1 (G),RMS_01.21.006,17.486,0.634332148,-0.588,,,,,
1,,, ,27.566, , ,,,,,
2,Dy8414,Mast 527 S7_B,RMS01.21.011,19.259,0.723315556,-0.417,,,,,
2,,, ,26.626, , ,,,,,
3,Dy8443,Mast 161 S7P3T,RMS 01.21.004,15.352,0.880426679,-0.115,,,,,
3,,, ,17.437, , ,,,,,
4,Dye8551,Mast 85 S7P3T (B),RMS 01.21.009 ,17.527,0.789646783,-0.289,,,,,
4,,, ,22.196, , ,,,,,
5,Dye8552,Mast 111 S7P3T (B),RMS 01.21.008 ,19.055,0.910676735,-0.056,,,,,
5,,, ,20.924, , ,,,,,
6,Dye8553,Mast 139 S7P3T (B),RMS 01.21.015 ,15.814,0.820440986,-0.23,,,,,
6,,, ,19.275, , ,,,,,
7,Dye8740,Mast 71T,RMS 01.21.006,17.144,0.830298334,-0.211,,,,,
7,,, ,20.648, , ,,,,,
8,Dye0715,Mast 527 P3T (B),RMS 01.22.012,16.802,0.775143015,-0.317,,,,,
8,,, ,21.676, , ,,,,,
9,Dy8415,Mast 527 P1_B,RMS 01.21.011,17.199,0.620880113,-0.614,,,,,
9,,, ,27.701, , ,,,,,
10,Dy8371,Mast 74 P1,RMS 01.21.019,19.021,0.927220435,-0.025,,,,,
10,,, ,20.514, , ,,,,,
11,Dy8374,Mast 118 S7P3T,RMS 01.21.033,17.822,0.818762347,-0.233,,,,,
11,,, ,21.767, , ,,,,,
12,Dy8375,Mast 213F S7,RMS 01.21.025,17.302,0.675727397,-0.508,,,,,
12,,, ,25.605, , ,,,,,
13,Dy8377,Mast 213F S7P3T,RMS 01.21.025,14.969,0.745208344,-0.375,,,,,
13,,, ,20.087, , ,,,,,
14,Dy8381,Mast 243A P1,RMS 01.21.031,19.578,0.679956934,-0.5,,,,,
14,,, ,28.793, , ,,,,,
15,Dy8408,Mast 486 P1,RMS 01.21.041,18.256,0.828989193,-0.213,,,,,
15,,, ,22.022, , ,,,,,
16,Dy8409,Mast 486 S7P3T,RMS 01.21.042,13.773,0.696133434,-0.469,,,,,
16,,, ,19.785, , ,,,,,
17,Dye8555,Mast 213H S7P3T (Gf),RMS 01.21.021 ,15.211,0.75164303,-0.362,,,,,
17,,, ,20.237, , ,,,,,
18,Dy8379,Mast 213H P2,RMS 01.21.022,17.461,0.613312259,-0.628,,,,,
18,,, ,28.47, , ,,,,,
19,Dy8383,Mast 243B P1,RMS 01.21.023,17.563,0.631648984,-0.593,,,,,
19,,, ,27.805, , ,,,,,
20,Dye8556,Mast 243A S7P3T (Bf),RMS 01.21.032 ,16.538,0.905199781,-0.067,,,,,
20,,, ,18.27, , ,,,,,
21,Dy8385,Mast 245 S7,RMS 01.21.043,19.249,0.821097982,-0.229,,,,,
21,,, ,23.443, , ,,,,,
22,Dy8386,Mast 245 P1,RMS 01.21.043,19.569,0.930527817,-0.018,,,,,
22,,, ,21.03, , ,,,,,
23,Dy8393,Mast351 S7P3T,RMS 01.21.055,14.546,0.800022,-0.269,,,,,
23,,, ,18.182, , ,,,,,
24,Dy8396,Mast 421 S7,RMS 01.21.091,18.409,0.841361974,-0.19,,,,,
24,,, ,21.88, , ,,,,,
25,Dy8397,Mast 421 P1,RMS 01.21.091,17.363,1.002251212,0.12,,,,,
25,,, ,17.324, , ,,,,,
26,Dy8402,Mast 444B S7,RMS 01.21.053,18.564,0.726802913,-0.41,,,,,
26,,, ,25.542, , ,,,,,
27,Dy8403,Mast 444B P2,RMS 01.21.053,16.778,0.611956086,-0.631,,,,,
27,,, ,27.417, , ,,,,,
28,Dy8410,Mast 505 S7,RMS 01.21.049,18.434,0.848125144,-0.177,,,,,
28,,, ,21.735, , ,,,,,
29,Dy8411,Mast 505 P2,RMS 01.21.049,17.281,0.987372872,0.091,,,,,
29,,, ,17.502, , ,,,,,
30,Dy8420,Mast 576A S7,RMS 01.21.045,19.762,0.782405574,-0.303,,,,,
30,,, ,25.258, , ,,,,,
31,Dy8421,Mast 576A P1,RMS 01.21.045,18.627,0.885019243,-0.106,,,,,
31,,, ,21.047, , ,,,,,
32,Dy8422,Mast576A S7P3T,RMS 01.21.045,16.973,0.788268623,-0.292,,,,,
32,,, ,21.532, , ,,,,,
33,Dy8423,Mast 576B S7,RMS 01.21.047,22.679,0.855294916,-0.163,,,,,
33,,, ,26.516, , ,,,,,
34,Dy8424,Mast 576B P1,RMS 01.21.047,17.43,0.653420806,-0.551,,,,,
34,,, ,26.675, , ,,,,,
35,Dye8548,Mast 39 S7P3T (B),RMS 01.21.013 ,20.469,0.905347428,-0.067,,,,,
35,,, ,22.609, , ,,,,,
36,Dye8549,Mast 71 S7P3T (G),RMS01.21.006 ,17.903,0.803185285,-0.263,,,,,
36,,, ,22.29, , ,,,,,
37,Dye8558,Mast 527 S7P3T (B),RMS 01.21.012 ,15.895,0.876772023,-0.122,,,,,
37,,, ,18.129, , ,,,,,
38,Dye8561,Rh71 S7P3T (B),RMS.01.21.057 ,18.7,0.907282519,-0.063,,,,,
38,,, ,20.611, , ,,,,,
39,Dye8734,Mast 527 T (B),RMS 01.21.012 ,16.317,0.882906769,-0.11,,,,,
39,,, ,18.481, , ,,,,,
40,Dye8739,Mast 39 T,RMS 01.21.013 ,15.465,0.732625894,-0.399,,,,,
40,,, ,21.109, , ,,,,,
41,Dy8404,Mast 444B S7P3T,RMS 01.21.054,17.143,0.928354814,-0.022,,,,,
41,,, ,18.466, , ,,,,,
42,Dy8406,Mast 473 P1,RMS 01.21.063,17.877,0.904889654,-0.068,,,,,
42,,, ,19.756, , ,,,,,
43,Dy8429,Mast 607C P1,RMS 01.21.069,17.81,0.598977601,-0.656,,,,,
43,,, ,29.734, , ,,,,,
44,Dy8436,Rh73 S7P3T,RMS 01.21.065,17.163,0.758518584,-0.349,,,,,
44,,, ,22.627, , ,,,,,
45,Dy8441,Rh75 P2,RMS 01.21.068,17.854,0.698731997,-0.464,,,,,
45,,, ,25.552, , ,,,,,
46,Dy8442,Rh75 S7P3T,RMS 01.21.068,20.312,0.862578563,-0.149,,,,,
46,,, ,23.548, , ,,,,,
47,Dye8557,Mast 323 S7P3T (G),RMS 01.21.083 ,18.255,0.823187229,-0.225,,,,,
47,,, ,22.176, , ,,,,,
48,Dye8560,Mast 607C S7P3T (G),RMS 01.21.070 ,19.233,0.808584882,-0.253,,,,,
48,,, ,23.786, , ,,,,,
49,Dye8562,Rh72 S7P3T (G),RMS 01.21.061 ,18.034,0.734402997,-0.395,,,,,
49,,, ,24.556, , ,,,,,
50,Dye0714,Mast 473 P3T  (Gf),RMS 01.22.064,12.604,0.669108669,-0.521,,,,,
50,,, ,18.837, , ,,,,,
51,Dy8426,Mast 607B P1,RMS 01.21.073,15.142,0.56777532,-0.716,,,,,
51,,, ,26.669, , ,,,,,
52,Dy8368,Mast 35 S7,RMS 01.21.089,19.098,0.725414973,-0.413,,,,,
52,,, ,26.327, , ,,,,,
53,Dy8369,Mast 35 P1,RMS 01.21.089,16.843,0.737498905,-0.389,,,,,
53,,, ,22.838, , ,,,,,
54,Dy8394,Mast 410 S7,RMS 01.21.087,15.401,0.666565678,-0.526,,,,,
54,,, ,23.105, , ,,,,,
55,Dy8395,Mast 410 P1,RMS 01.21.087,12.827,0.621643889,-0.612,,,,,
55,,, ,20.634, , ,,,,,
56,Dy8399,Mast 430 P1,RMS 01.21.079,14.862,0.515844643,-0.816,,,,,
56,,, ,28.811, , ,,,,,
57,Dy8416,Mast 545 S7,RMS 01.21.085,20.395,0.710850092,-0.441,,,,,
57,,, ,28.691, , ,,,,,
58,Dy8417,Mast 545 P1,RMS 01.21.085,17.226,0.588580996,-0.676,,,,,
58,,, ,29.267, , ,,,,,
59,Dy8437,Rh74 S7,RMS 01.21.075,17.048,0.685843022,-0.489,,,,,
59,,, ,24.857, , ,,,,,
60,Dye8559,Mast 545 S7P3T (Gf),RMS 01.21.085 ,16.596,0.699839757,-0.462,,,,,
60,,, ,23.714, , ,,,,,
61,Dye0725,Mast 590 T (Gf),RMS 01.22.114,17.329,0.721981502,-0.419,,,,,
61,,, ,24.002, , ,,,,,
62,Dye0727,Mast 590 P1 (Gf),RMS 01.22.114,15.471,0.608017292,-0.638,,,,,
62,,, ,25.445, , ,,,,,
63,Dye7969,Mast 3 T,NBL_01.21.002,14.221,0.725894543,-0.412,,,,,
63,,, ,19.591, , ,,,,,
64,Dye2811,Mast 465A T,NBL 01.23.047,15.093,0.643158478,-0.571,,,,,
64,,, ,23.467, , ,,,,,
65,Dye2812,Mast 121 T,NBL 01.23.049,16.4,0.78221883,-0.303,,,,,
65,,, ,20.966, , ,,,,,
