Experiment #,Sample,Type,Sample Name,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Injection Method,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
OST 01.22.035,MAST 470A p1,Cells,Sample 11,hGAPDH,18.027,0.953153915,0.025,NM_8.22.51,,,,,
 , ,,Sample 11,mGapdh,18.913, , ,,,,,,
OST 01.22.036,MAST 470A T,Tumor,Sample 17,hGAPDH,19.396,0.859332772,-0.155,NM_8.22.54,,,,,
 , ,,Sample 17,mGapdh,22.571, , ,,,,,,
OST 01.22.036,MAST 470A S7 (OSB),Organoids,Sample 18,hGAPDH,19.395,1.099614469,0.307,NM_8.22.54,,,,,
 , ,,Sample 18,mGapdh,17.638, , ,,,,,,
OST 01.22.036,MAST 470A S7 (OS3),Organoids,Sample 19,hGAPDH,18.352,1.041839341,0.196,NM_8.22.54,,,,,
 , ,,Sample 19,mGapdh,17.615, , ,,,,,,
OST 01.22.036,MAST 470A S7 (OS7),Organoids,Sample 20,hGAPDH,18.003,0.890400119,-0.095,NM_8.22.54,,,,,
 , ,,Sample 20,mGapdh,20.219, , ,,,,,,
OST 01.22.036,MAST 470A p1 (OSB),Cells,Sample 21,hGAPDH,19.533,1.144087155,0.392,NM_8.22.54,,,,,
 , ,,Sample 21,mGapdh,17.073, , ,,,,,,
OST 01.22.036,MAST 470A p1 (OS3),Cells,Sample 22,hGAPDH,17.963,1.007628878,0.13,NM_8.22.54,,,,,
 , ,,Sample 22,mGapdh,17.827, , ,,,,,,
OST 01.22.036,MAST 470A p1 (OS7),Cells,Sample 23,hGAPDH,18.631,1.012279272,0.139,NM_8.22.54,,,,,
 , ,,Sample 23,mGapdh,18.405, , ,,,,,,
OST 01.22.037,MAST 390 T,Tumor,Sample 1,hGAPDH,16.644,0.791102239,-0.286,NM_8.22.53,,,,,
 , ,,Sample 1,mGapdh,21.039, , ,,,,,,
OST 01.22.037,MAST 390 S7,Organoids,Sample 2,hGAPDH,17.839,0.751558814,-0.362,NM_8.22.53,,MAST 390 S7 (OS) - PASSED,OST 01.22.037,2022-10-25,PASSED
 , ,,Sample 2,mGapdh,23.736, , ,,,,,,
OST 01.22.037,MAST 390 S7 #1,Organoids,Sample 3,hGAPDH,18.406,0.578823233,-0.695,NM_8.22.53,,,,,
 , ,,Sample 3,mGapdh,31.799, , ,,,,,,
OST 01.22.037,MAST 390 S7 #2,Organoids,Sample 4,hGAPDH,18.056,0.571609472,-0.708,NM_8.22.53,,,,,
 , ,,Sample 4,mGapdh,31.588, , ,,,,,,
OST 01.22.037,MAST 390 p1,Cells,Sample 5,hGAPDH,18.195,1.075545309,0.261,NM_8.22.53,,,,,
 , ,,Sample 5,mGapdh,16.917, , ,,,,,,
OST 01.22.037,MAST 390 p1 #1,Cells,Sample 6,hGAPDH,15.932,0.666973668,-0.525,NM_8.22.53,,,,,
 , ,,Sample 6,mGapdh,23.887, , ,,,,,,
OST 01.22.037,MAST 390 p1 #2,Cells,Sample 7,hGAPDH,16.012,0.538779905,-0.772,NM_8.22.53,,,,,
 , ,,Sample 7,mGapdh,29.719, , ,,,,,,
OST 01.22.038,MAST 152 T,Tumor,Sample 12,hGAPDH,34.834,1.928579338,1.901,NM_8.22.51,,,,,
 , ,,Sample 12,mGapdh,18.062, , ,,,,,,
OST 01.22.039,MAST 390 T,Tumor,Sample 7,hGAPDH,17.039,0.806732636,-0.256,NM_8.22.54,,,,,
 , ,,Sample 7,mGapdh,21.121, , ,,,,,,
OST 01.22.039,MAST 390 S7 (OSB),Organoids,Sample 8,hGAPDH,16.913,0.715591284,-0.432,NM_8.22.54,,,,,
 , ,,Sample 8,mGapdh,23.635, , ,,,,,,
OST 01.22.039,MAST 390 S7 (OS3),Organoids,Sample 9,hGAPDH,16.979,0.751183471,-0.363,NM_8.22.54,,,,,
 , ,,Sample 9,mGapdh,22.603, , ,,,,,,
OST 01.22.039,MAST 390 S7 (OS7),Organoids,Sample 10,hGAPDH,missing data,,,NM_8.22.54,,,,,
 , ,,Sample 10,mGapdh,missing data, , ,,,,,,
OST 01.22.040,MAST 389 T,Tumor,Sample 14,hGAPDH,16.359,0.744674071,-0.376,NM_8.22.54,,,,,
 , ,,Sample 14,mGapdh,21.968, , ,,,,,,
OST 01.22.040,MAST 389 S7,Organoids,Sample 15,hGAPDH,17.8,0.899216974,-0.078,NM_8.22.54,,MAST 389 S7 (OS) - PASSED,OST 01.22.040,2022-11-28,PASSED
 , ,,Sample 15,mGapdh,19.795, , ,,,,,,
OST 01.22.040,MAST 389 p1,Cells,Sample 16,hGAPDH,19.74,1.087543386,0.284,NM_8.22.54,,,,,
 , ,,Sample 16,mGapdh,18.151, , ,,,,,,
OST 01.22.041,MAST 389 T,Tumor,Sample 7,hGAPDH,16.482,0.739136284,-0.386,NM_8.22.55,,,,,
 , ,,Sample 7,mGapdh,22.299, , ,,,,,,
OST 01.22.041,MAST 389 S7,Organoids,Sample 8,hGAPDH,17.307,0.864917541,-0.144,NM_8.22.55,,MAST 389 S7 (OS) - PASSED,OST 01.22.041,2022-12-12,PASSED
 , ,,Sample 8,mGapdh,20.01, , ,,,,,,
