lab_id_number,date_ordered,sample_name,ordered_by,notebook_page_number,srm_order_number,srm_sample_number,assay,tissue,tumor_type,species,failed,notes,extra_unnamed_col1,source_file,source_sheet
DY2563,45645,MAST 1045_1.3,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254222,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2564,45645,MAST 141_1.3,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254223,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2565,45645,MAST 1137_1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254224,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2566,45645,MAST 1137_2,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254225,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2567,45645,MAST 1085_1.1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254226,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2568,45645,MAST 1038_1.1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254227,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2569,45645,MAST 930_1.1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254228,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2570,45645,MAST 558_2.3,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254229,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2571,45645,MAST 1137_3,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254230,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2572,45645,MAST 1105A_1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254231,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2573,45645,MAST 1105B_1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254232,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2574,45645,MAST 1053_3,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254233,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
